Звездный странник 2. Тропы миров.;https://litnet.com/ru/book/zvezdnyi-strannik-2-tropy-mirov-b151292;Бесплатно;Матвей Дебров;https://litnet.com/ru/matvei-debrov-u2838530
Тёмный Травник. Сохранить крылья;https://litnet.com/ru/book/temnyi-travnik-sohranit-krylya-b14464;129            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Канцелярия счастья: Академия Ненависти и Интриг;https://litnet.com/ru/book/kancelyariya-schastya-akademiya-nenavisti-i-intrig-b53209;Бесплатно;Екатерина Вострова;https://litnet.com/ru/ekaterina-vostrova-u31591
Искажающие реальность-4;https://litnet.com/ru/book/iskazhayushchie-realnost-4-b101315;139            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Warm;https://litnet.com/ru/book/warm-b121168;Бесплатно;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
Искажающие реальность-5;https://litnet.com/ru/book/iskazhayushchie-realnost-5-b136215;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Дисгардиум 3. Чумной мор;https://litnet.com/ru/book/disgardium-3-chumnoi-mor-b155573;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Убийца Богов;https://litnet.com/ru/book/ubiica-bogov-b208721;Бесплатно;Александр Робский ;https://litnet.com/ru/aleksandr-robskii-u1889868
Сопровождающий;https://litnet.com/ru/book/soprovozhdayushchii-b236992;Бесплатно;Екатерина Кариди;https://litnet.com/ru/ekaterina-karidi-u62137
Десять тысяч стилей. Книга вторая;https://litnet.com/ru/book/desyat-tysyach-stilei-kniga-vtoraya-b240320;119            RUB;Илья Головань (Krayhir);https://litnet.com/ru/ilya-golovan-krayhir-u4065502
История Бессмертного-3 Свобода или смерть;https://litnet.com/ru/book/istoriya-bessmertnogo-3-svoboda-ili-smert-b242876;139            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
99 мир — 2. Север;https://litnet.com/ru/book/99-mir-2-sever-b277880;199            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Звёздная быль;https://litnet.com/ru/book/zvezdnaya-byl-b281281;Бесплатно;Николай Юрчиков;https://litnet.com/ru/nikolai-yurchikov-u4752589
Мантра лунного света ч.2;https://litnet.com/ru/book/mantra-lunnogo-sveta-ch2-b309019;119            RUB;Алекс Кин;https://litnet.com/ru/aleks-kin-u2808594
Мир грёз. Режим Easy;https://litnet.com/ru/book/mir-grez-rezhim-easy-b342119;Бесплатно;Макс Добрый;https://litnet.com/ru/maks-dobryi-u364125
Падший 4;https://litnet.com/ru/book/padshii-4-b362043;149            RUB;Алекс Платт;https://litnet.com/ru/aleks-platt-u6245037
Забаненный;https://litnet.com/ru/book/zabanennyi-b389894;Бесплатно;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
